"","Gebruiksdoel","Type","Hoofdadres","ID","Oppervlakte","MaaktDeelUitVan","x_coordinate","y_coordinate"
"64","woonfunctie","Verblijfsobject","0363200000475489","0363010000993803",153,"0363100012091754",124797,487327
"65","woonfunctie","Verblijfsobject","0363200000478543","0363010000994700",228,"0363100012098458",124951,487354
"66","woonfunctie","Verblijfsobject","0363200000478544","0363010000994703",220,"0363100012098458",124936,487351
"67","woonfunctie","Verblijfsobject","0363200000475468","0363010000994705",209,"0363100012098458",124926,487349
"68","woonfunctie","Verblijfsobject","0363200000475470","0363010000994707",205,"0363100012098458",124916,487347
"69","woonfunctie","Verblijfsobject","0363200000474118","0363010000994889",113,"0363100012082525",124896,487401
"70","woonfunctie","Verblijfsobject","0363200000473980","0363010000994941",66,"0363100012098458",124993,487389
"71","woonfunctie","Verblijfsobject","0363200000474123","0363010000994894",153,"0363100012082525",124896,487401
"72","woonfunctie","Verblijfsobject","0363200000474126","0363010000994897",112,"0363100012082525",124896,487401
"73","woonfunctie","Verblijfsobject","0363200000474127","0363010000994898",113,"0363100012082525",124896,487401
"74","woonfunctie","Verblijfsobject","0363200000461657","0363010000995837",240,"0363100012149768",125152,487411
"75","woonfunctie","Verblijfsobject","0363200000475465","0363010000994701",211,"0363100012098458",124946,487352
"76","woonfunctie","Verblijfsobject","0363200000461693","0363010000983448",209,"0363100012124573",125102,487406
"77","woonfunctie","Verblijfsobject","0363200000461772","0363010000958144",115,"0363100012098843",125015,487527
"78","woonfunctie","Verblijfsobject","0363200000461773","0363010000958145",115,"0363100012092906",125010,487526
"79","woonfunctie","Verblijfsobject","0363200000461774","0363010000958146",115,"0363100012109270",125007,487526
"80","woonfunctie","Verblijfsobject","0363200000461775","0363010000958147",111,"0363100012113139",125003,487525
"81","woonfunctie","Verblijfsobject","0363200000461760","0363010000959670",181,"0363100012136192",125077,487538
"82","woonfunctie","Verblijfsobject","0363200000461702","0363010000959686",118,"0363100012136192",125137,487520
"83","woonfunctie","Verblijfsobject","0363200000461704","0363010000959689",106,"0363100012136192",125129,487518
